AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
9.116666667,7.8,10.71,12.7,2,9,29.8703,9.003151589,0.0143432
115.095,115.07,115.12,894.56,4,5,99.9937,61.05444014,0.0018024
9.68,9.68,9.68,12.7,1,4,99.9937,44.96918165,0.001828
16.725,14.66,18.56,12.7,2,15,100.5267,43.86544888,0.0024776
74.42,74.42,74.42,572.49,3,4,96.9119,44.60505981,97.829196
113.615,113.04,114.19,894.56,4,5,100.0833,53.37409969,0.0042024
12.622,9.72,19.42,12.7,1,20,71.1268,45.85809263,0.001932
12.8925,10.44,13.92,12.7,2,13,98.5987,47.97398026,0.0162208
90.33,88.64,92.02,572.49,3,8,72.7207,8.857812873,94.5591088
107.88,107.88,107.88,894.56,4,4,71.8545,9.962652846,0.0043184
18.6225,15.99,21.67,12.7,1,15,99.9917,35.18427163,0.0018664
13.92666667,11.63,15.53,12.7,2,11,29.2712,8.351452489,0.0080416
94.125,93.36,94.89,572.49,3,10,96.9476,30.90259846,94.6627528
105.04,105.04,105.04,894.56,4,1,100.0479,68.37831075,0.0063184
14.815,12.03,18.08,12.7,1,13,99.9916,61.12611301,0.001836
12.42,11.54,13.3,12.7,2,9,99.8231,40.32331283,0.0087344
75.055,74.47,75.64,572.49,3,6,97.5658,39.88899439,94.6660296
103.35,103.35,103.35,894.56,4,4,100.075,26.33728473,0.0063616
9.17,6.67,10.45,12.7,1,16,100.05,67.22246567,0.001744
5.61,5.61,5.61,12.7,2,1,30.0667,8.51824632,0.0113096
109.14,109.14,109.14,894.56,4,3,62.7312,9.383266339,0.0018256
11.47,8.6,14.61,12.7,1,11,73.044,36.78794301,0.0019848
8.465,6.27,10.66,12.7,2,8,99.9146,59.19210176,0.0059744
81.95,81.95,81.95,572.49,3,5,29.03,7.476000166,95.8141048
107.34,107.34,107.34,894.56,4,3,28.1869,8.047045751,0.0041312
8.135,7.64,8.63,12.7,1,5,50.2396,15.7706901,0.0018472
7.905,6.82,8.99,12.7,2,8,14.3402,17.00635214,0.0023552
106.84,106.84,106.84,894.56,4,3,99.908,72.88235929,0.0046984
15.1925,11.82,19.36,12.7,1,16,99.9917,38.48078106,0.0018456
8.455,8.08,8.83,12.7,2,8,89.3873,15.08196124,0.0114928
77.94,77.94,77.94,572.49,3,4,89.7988,14.13572181,96.294732
101.63,101.63,101.63,894.56,4,1,99.9792,30.74623693,0.0040696
11.00333333,9.69,12.15,12.7,1,9,73.9949,35.18075319,0.001976
10.78333333,9.09,13.03,12.7,2,10,99.9375,35.87191789,0.0031784
85.455,85.44,85.47,572.49,3,10,28.5191,8.303424527,96.0642056
102.64,102.64,102.64,894.56,4,3,34.5832,10.00263514,0.0057992
19.5625,16.93,22.41,12.7,2,13,100.0917,32.36240739,0.0022472
81.515,81.41,81.62,572.49,3,5,97.3719,41.2313907,96.4120016
104.66,104.66,104.66,894.56,4,4,99.9812,45.66384019,0.0043288
14.535,9.71,18.99,12.7,1,14,70.9314,22.22046163,0.0019632
7.01,7.01,7.01,12.7,2,1,99.1711,24.73216168,0.0105096
76.26,76.26,76.26,572.49,3,6,30.5125,6.683538785,98.1047576
117.96,117.32,118.6,894.56,4,5,41.7724,7.963513511,0.0038008
10.34666667,9.39,10.88,12.7,1,9,75.2004,15.76746691,0.0017576
11.77333333,7.99,15.07,12.7,2,12,22.9289,7.825506932,0.003256
106.56,106.56,106.56,894.56,4,4,100,25.47152658,0.0017784
21.788,13.82,26.08,12.7,1,19,99.9917,51.38893571,0.0017992
13.44,9.55,16.11,12.7,2,12,79.3318,15.71058133,0.013756
72.14,72.14,72.14,572.49,3,1,78.2495,14.7901274,94.32266
101.23,101.23,101.23,894.56,4,2,38.3233,11.28979438,0.0042544
15.2375,11.7,18.78,12.7,1,13,72.1961,53.04289866,0.0021616
6.15,6.15,6.15,12.7,2,1,99.9604,59.69459924,0.0055712
76.06,76.06,76.06,572.49,3,5,29.3078,6.815074383,94.770592
108.77,108.77,108.77,894.56,4,4,28.566,8.015330565,0.0043728
18.278,11.61,25.16,12.7,1,20,50.2406,15.75659173,0.0019704
14.4825,9.51,18.14,12.7,2,15,19.0918,9.016290386,0.0126328
80.37,76.33,84.41,572.49,3,10,29.5564,12.19789686,96.9166712
114.68,114.07,115.29,894.56,4,5,99.9937,51.5259335,0.0035368
18.588,6.07,27.29,12.7,1,20,25.1974,9.294222694,0.0018328
79.945,79.36,80.53,572.49,3,5,97.9595,58.00788771,96.0209936
103.82,103.82,103.82,894.56,4,4,99.9834,32.75856427,0.0060576
20.012,17.53,24.31,12.7,1,19,71.9797,40.03253698,0.001916
15.465,7.04,19.5,12.7,2,15,99.0048,44.79141421,0.0142616
